id,category,best_baseline,best_asym,cov_baseline,cov_asym,best_symmetric,cov_symmetric,verdict
h001,enumeration,-1.907,-2.696,33.3,0.0,-0.25,100.0,*** ΧΑΘΗΚΕ ***
h002,direct_fact,1.27,1.27,0.0,0.0,3.249,100.0,ίδιο
h003,direct_fact,-2.392,-2.392,100.0,100.0,0.398,100.0,ίδιο
h004,direct_fact,-2.735,-2.735,0.0,0.0,-2.735,0.0,ίδιο
h005,direct_fact,-3.442,-3.951,0.0,0.0,-1.175,100.0,ίδιο
h006,enumeration,-2.164,-2.164,33.3,100.0,4.292,100.0,coverage 33->100
h007,reasoning,-5.735,-6.476,0.0,0.0,-4.068,0.0,ίδιο
h008,direct_fact,-6.236,-7.218,0.0,0.0,0.127,0.0,ίδιο
h009,direct_fact,-5.331,-5.331,0.0,0.0,-7.819,0.0,ίδιο
h010,direct_fact,-7.966,-7.997,0.0,0.0,-6.606,0.0,ίδιο
h011,multi_hop,-2.352,-2.397,66.7,66.7,2.225,66.7,ίδιο
h012,multi_hop,-1.477,-1.477,0.0,0.0,-1.477,0.0,ίδιο
h013,multi_hop,-1.977,-1.977,33.3,33.3,-0.573,33.3,coverage 33->33
h014,multi_hop,-1.984,-1.984,66.7,66.7,1.508,100.0,ίδιο
h015,multi_hop,-4.992,-4.992,0.0,0.0,-2.855,0.0,ίδιο
h016,multi_hop,-9.368,-9.368,0.0,0.0,-9.368,0.0,ίδιο
q019,out_of_corpus,-4.442,-4.442,0.0,0.0,-7.332,0.0,ίδιο
q020,out_of_corpus,-3.315,-3.315,0.0,0.0,-3.315,0.0,ίδιο
q048,out_of_corpus,-3.12,-3.12,0.0,0.0,-1.999,0.0,ίδιο
q049,out_of_corpus,-3.397,-3.397,0.0,0.0,-3.397,0.0,ίδιο
q050,out_of_corpus,-5.053,-6.406,0.0,0.0,-7.382,0.0,ίδιο
