id,category,+bm25/rrf_blocked,+bm25/rrf_mrr,+gate_blocked,+gate_mrr,+reranker_blocked,+reranker_mrr,dense_blocked,dense_mrr
q001,direct_fact,,1.0,,1.0,,1.0,,0.667
q002,enumeration,,1.0,,1.0,,1.0,,1.0
q003,direct_fact,,1.0,,1.0,,1.0,,1.0
q004,reasoning,,0.833,,0.833,,0.833,,0.833
q005,direct_fact,,1.0,,0.556,,0.556,,1.0
q006,enumeration,,0.222,,0.333,,0.333,,0.4
q007,direct_fact,,0.833,,0.833,,0.833,,0.778
q008,enumeration,,0.139,,0.4,,0.4,,1.0
q009,reasoning,,0.75,,0.833,,0.833,,0.833
q010,direct_fact,,0.417,,1.0,,1.0,,0.5
q011,enumeration,,0.556,,0.5,,0.5,,0.178
q012,direct_fact,,1.0,,1.0,,1.0,,1.0
q013,enumeration,,1.0,,1.0,,1.0,,1.0
q014,reasoning,,1.0,,1.0,,1.0,,1.0
q015,direct_fact,,0.528,,0.667,,0.667,,0.431
q016,reasoning,,0.733,,0.389,,0.389,,0.75
q017,direct_fact,,1.0,,1.0,,1.0,,1.0
q018,reasoning,,0.75,,0.75,,0.75,,1.0
q019,out_of_corpus,0,,1,,0,,0,
q020,out_of_corpus,0,,1,,0,,0,
q021,enumeration,,0.5,,1.0,,1.0,,0.25
q022,enumeration,,1.0,,1.0,,1.0,,0.5
q023,enumeration,,1.0,,1.0,,1.0,,1.0
q024,enumeration,,1.0,,1.0,,1.0,,1.0
q025,direct_fact,,1.0,,1.0,,1.0,,1.0
q026,reasoning,,1.0,,1.0,,1.0,,1.0
q027,enumeration,,0.25,,0.5,,0.5,,0.206
q028,direct_fact,,0.5,,0.143,,0.143,,0.143
q029,reasoning,,0.067,,0.162,,0.162,,0.333
q030,reasoning,,1.0,,1.0,,1.0,,1.0
q031,direct_fact,,1.0,,0.833,,0.833,,1.0
q032,enumeration,,0.667,,0.278,,0.278,,0.833
q033,direct_fact,,1.0,,1.0,,1.0,,1.0
q034,enumeration,,1.0,,1.0,,1.0,,1.0
q035,reasoning,,1.0,,1.0,,1.0,,0.143
q036,direct_fact,,1.0,,1.0,,1.0,,1.0
q037,direct_fact,,1.0,,1.0,,1.0,,0.5
q038,reasoning,,1.0,,1.0,,1.0,,1.0
q039,reasoning,,1.0,,1.0,,1.0,,0.5
q040,enumeration,,1.0,,1.0,,1.0,,1.0
q041,enumeration,,0.333,,0.5,,0.5,,1.0
q042,reasoning,,1.0,,1.0,,1.0,,1.0
q043,direct_fact,,1.0,,1.0,,1.0,,0.5
q044,multi_hop,,0.417,,0.444,,0.444,,0.444
q045,multi_hop,,0.042,,0.194,,0.194,,0.0
q046,multi_hop,,0.556,,0.75,,0.75,,0.467
q047,multi_hop,,0.733,,0.778,,0.778,,0.714
q048,out_of_corpus,0,,1,,0,,0,
q049,out_of_corpus,0,,1,,0,,0,
q050,out_of_corpus,0,,1,,0,,0,
