id,doc,page,chars,ref_chars,ref_frac,left_chars
1702.04024.pdf_p6_c0_f355f186,1702.04024.pdf,7,1461,1450,0.992,10
1702.04024.pdf_p6_c1_cac94fe1,1702.04024.pdf,7,1483,1446,0.975,36
1702.04024.pdf_p6_c2_b786aaf2,1702.04024.pdf,7,1216,1208,0.993,7
1702.04024.pdf_p7_c0_6df2a129,1702.04024.pdf,8,1489,1489,1.0,0
1702.04024.pdf_p7_c1_3370fd71,1702.04024.pdf,8,1452,1452,1.0,0
1702.04024.pdf_p7_c2_f4ad35bf,1702.04024.pdf,8,1154,1154,1.0,0
1902.03383v1.pdf_p22_c0_24438a2d,1902.03383v1.pdf,23,1418,692,0.488,725
1902.03383v1.pdf_p22_c1_aa620f7a,1902.03383v1.pdf,23,1391,1286,0.925,104
1902.03383v1.pdf_p23_c0_14a52af4,1902.03383v1.pdf,24,1424,1424,1.0,0
1902.03383v1.pdf_p23_c1_e671dad2,1902.03383v1.pdf,24,1431,1431,1.0,0
1902.03383v1.pdf_p24_c0_667946d3,1902.03383v1.pdf,25,1332,1332,1.0,0
1902.03383v1.pdf_p24_c1_750dd4bf,1902.03383v1.pdf,25,1427,1427,1.0,0
1902.03383v1.pdf_p24_c2_cfffefd0,1902.03383v1.pdf,25,532,451,0.848,80
1902.03383v1.pdf_p25_c0_0f3f226f,1902.03383v1.pdf,26,1489,1489,1.0,0
1902.03383v1.pdf_p25_c1_23b32965,1902.03383v1.pdf,26,1370,1370,1.0,0
1902.03383v1.pdf_p25_c2_0b09c985,1902.03383v1.pdf,26,388,346,0.892,41
1902.03383v1.pdf_p26_c0_b7f0abec,1902.03383v1.pdf,27,1449,1449,1.0,0
1902.03383v1.pdf_p26_c1_843991df,1902.03383v1.pdf,27,1496,1448,0.968,47
1902.03383v1.pdf_p26_c2_0a2b28d7,1902.03383v1.pdf,27,402,221,0.55,180
1902.03383v1.pdf_p27_c0_008ffb33,1902.03383v1.pdf,28,565,565,1.0,0
EECS-2009-28.pdf_p23_c2_e24bffca,EECS-2009-28.pdf,24,1454,1177,0.809,276
EECS-2009-28.pdf_p23_c3_8fc92e8d,EECS-2009-28.pdf,24,1485,1449,0.976,35
EECS-2009-28.pdf_p23_c4_ecc450a0,EECS-2009-28.pdf,24,875,875,1.0,0
EECS-2009-28.pdf_p24_c0_76980270,EECS-2009-28.pdf,25,1459,1459,1.0,0
EECS-2009-28.pdf_p24_c1_5b9f6081,EECS-2009-28.pdf,25,1468,1468,1.0,0
EECS-2009-28.pdf_p24_c2_bd6d92b0,EECS-2009-28.pdf,25,1476,1349,0.914,126
EECS-2009-28.pdf_p24_c3_244031c0,EECS-2009-28.pdf,25,339,297,0.876,41
excamera-nsdi17.pdf_p12_c3_5d71ea7b,excamera-nsdi17.pdf,13,1447,95,0.066,1351
excamera-nsdi17.pdf_p12_c4_1df350f3,excamera-nsdi17.pdf,13,372,190,0.511,181
excamera-nsdi17.pdf_p13_c0_dc1580d0,excamera-nsdi17.pdf,14,1481,1387,0.937,93
excamera-nsdi17.pdf_p13_c1_ee230441,excamera-nsdi17.pdf,14,1494,1463,0.979,30
excamera-nsdi17.pdf_p13_c2_bba5d4fd,excamera-nsdi17.pdf,14,1408,1408,1.0,0
excamera-nsdi17.pdf_p14_c0_400e3b5f,excamera-nsdi17.pdf,15,1313,369,0.281,943
mapreduce-osdi04.pdf_p11_c2_d4a42723,mapreduce-osdi04.pdf,12,1494,781,0.523,712
mapreduce-osdi04.pdf_p11_c3_803d4fb8,mapreduce-osdi04.pdf,12,1292,1176,0.91,115
mapreduce-osdi04.pdf_p12_c0_5228cae3,mapreduce-osdi04.pdf,13,1458,1458,1.0,0
mapreduce-osdi04.pdf_p12_c1_669d6d1c,mapreduce-osdi04.pdf,13,1466,1466,1.0,0
