id,set,category,cand_same,pages_same,a_best,b_best,a_cov,b_cov,a_cut,b_cut,n_only_a,n_only_b
q001,golden_set_50.jsonl,direct_fact,False,True,3.62532639503479,3.62532639503479,100.0,100.0,False,False,0,0
q002,golden_set_50.jsonl,enumeration,False,True,9.270694732666016,9.270694732666016,100.0,100.0,False,False,0,0
q003,golden_set_50.jsonl,direct_fact,False,True,2.06204891204834,2.06204891204834,100.0,100.0,False,False,0,0
q004,golden_set_50.jsonl,reasoning,False,True,6.137463569641113,6.137463569641113,100.0,100.0,False,False,0,0
q005,golden_set_50.jsonl,direct_fact,False,True,4.806209564208984,4.806209564208984,100.0,100.0,False,False,0,0
q006,golden_set_50.jsonl,enumeration,False,True,4.633072853088379,4.633072853088379,100.0,100.0,False,False,0,0
q007,golden_set_50.jsonl,direct_fact,False,True,2.1410040855407715,2.1410040855407715,100.0,100.0,False,False,0,0
q008,golden_set_50.jsonl,enumeration,False,True,5.437555313110352,5.437554836273193,100.0,100.0,False,False,0,0
q009,golden_set_50.jsonl,reasoning,False,True,5.06092643737793,5.06092643737793,100.0,100.0,False,False,0,0
q010,golden_set_50.jsonl,direct_fact,False,True,5.703508377075195,5.703508377075195,100.0,100.0,False,False,0,0
q011,golden_set_50.jsonl,enumeration,False,True,5.42570161819458,5.42570161819458,100.0,100.0,False,False,0,0
q012,golden_set_50.jsonl,direct_fact,False,True,4.608530521392822,4.608530521392822,100.0,100.0,False,False,0,0
q013,golden_set_50.jsonl,enumeration,False,True,6.718211650848389,6.718211650848389,100.0,100.0,False,False,0,0
q014,golden_set_50.jsonl,reasoning,False,True,0.6780500411987305,0.6780500411987305,100.0,100.0,False,False,0,0
q015,golden_set_50.jsonl,direct_fact,False,True,6.777395248413086,6.777395248413086,100.0,100.0,False,False,0,0
q016,golden_set_50.jsonl,reasoning,False,True,6.873054504394531,6.873054504394531,100.0,100.0,False,False,0,0
q017,golden_set_50.jsonl,direct_fact,False,True,5.9995622634887695,5.9995622634887695,100.0,100.0,False,False,0,0
q018,golden_set_50.jsonl,reasoning,False,True,8.10957145690918,8.10957145690918,100.0,100.0,False,False,0,0
q019,golden_set_50.jsonl,out_of_corpus,False,True,-4.441519260406494,-4.441519260406494,0.0,0.0,True,True,0,0
q020,golden_set_50.jsonl,out_of_corpus,False,True,-5.4598565101623535,-5.4598565101623535,0.0,0.0,True,True,0,0
q021,golden_set_50.jsonl,enumeration,False,False,5.633781909942627,5.633781909942627,100.0,100.0,False,False,1,1
q022,golden_set_50.jsonl,enumeration,False,True,7.095034122467041,7.095034122467041,100.0,100.0,False,False,0,0
q023,golden_set_50.jsonl,enumeration,False,True,6.304117202758789,6.304117202758789,100.0,100.0,False,False,0,0
q024,golden_set_50.jsonl,enumeration,True,True,5.446718215942383,5.446718215942383,100.0,100.0,False,False,0,0
q025,golden_set_50.jsonl,direct_fact,False,False,0.35489529371261597,0.35489529371261597,100.0,100.0,False,False,1,1
q026,golden_set_50.jsonl,reasoning,False,True,7.694472789764404,7.694472789764404,100.0,100.0,False,False,0,0
q027,golden_set_50.jsonl,enumeration,False,True,-2.078186273574829,-2.078186273574829,100.0,100.0,False,False,0,0
q028,golden_set_50.jsonl,direct_fact,False,True,0.3810821771621704,0.3810821771621704,100.0,100.0,False,False,0,0
q029,golden_set_50.jsonl,reasoning,False,True,4.133574485778809,4.133574485778809,100.0,100.0,False,False,0,0
q030,golden_set_50.jsonl,reasoning,False,True,4.913325309753418,4.913325309753418,100.0,100.0,False,False,0,0
q031,golden_set_50.jsonl,direct_fact,False,True,6.095283508300781,6.095283508300781,100.0,100.0,False,False,0,0
q032,golden_set_50.jsonl,enumeration,False,True,3.016317129135132,3.016317129135132,100.0,100.0,False,False,0,0
q033,golden_set_50.jsonl,direct_fact,False,True,6.963826656341553,6.963826656341553,100.0,100.0,False,False,0,0
q034,golden_set_50.jsonl,enumeration,False,True,4.53547477722168,4.53547477722168,100.0,100.0,False,False,0,0
q035,golden_set_50.jsonl,reasoning,False,True,6.9614105224609375,6.9614105224609375,100.0,100.0,False,False,0,0
q036,golden_set_50.jsonl,direct_fact,False,True,4.930408954620361,4.930408954620361,100.0,100.0,False,False,0,0
q037,golden_set_50.jsonl,direct_fact,False,True,8.880435943603516,8.880435943603516,100.0,100.0,False,False,0,0
q038,golden_set_50.jsonl,reasoning,False,True,6.87338924407959,6.87338924407959,100.0,100.0,False,False,0,0
q039,golden_set_50.jsonl,reasoning,False,True,2.811406373977661,2.811406373977661,100.0,100.0,False,False,0,0
q040,golden_set_50.jsonl,enumeration,False,False,4.143370151519775,4.143370151519775,100.0,100.0,False,False,1,0
q041,golden_set_50.jsonl,enumeration,False,True,6.084099769592285,6.084098815917969,100.0,100.0,False,False,0,0
q042,golden_set_50.jsonl,reasoning,False,True,7.61417293548584,7.61417293548584,100.0,100.0,False,False,0,0
q043,golden_set_50.jsonl,direct_fact,False,True,5.485403537750244,5.485403537750244,100.0,100.0,False,False,0,0
q044,golden_set_50.jsonl,multi_hop,False,True,4.094095706939697,4.094095706939697,66.66666666666667,66.66666666666667,False,False,0,0
q045,golden_set_50.jsonl,multi_hop,False,True,2.1227176189422607,2.1227176189422607,66.66666666666667,66.66666666666667,False,False,0,0
q046,golden_set_50.jsonl,multi_hop,False,True,2.3360743522644043,2.3360743522644043,100.0,100.0,False,False,0,0
q047,golden_set_50.jsonl,multi_hop,False,True,1.6783485412597656,1.6783485412597656,100.0,100.0,False,False,0,0
