id,set,category,best_before,best_after,d_best,cut_before,cut_after,cov_before,cov_after,cov_orig_after,pages_before,pages_after
q001,golden_set_50,direct_fact,3.625,3.625,0.0,False,False,100.0,100.0,100.0,8,8
q002,golden_set_50,enumeration,9.271,9.271,0.0,False,False,100.0,100.0,100.0,8,8
q003,golden_set_50,direct_fact,2.062,2.062,0.0,False,False,100.0,100.0,100.0,2,2
q004,golden_set_50,reasoning,6.137,6.137,0.0,False,False,100.0,100.0,100.0,8,7
q005,golden_set_50,direct_fact,4.806,4.806,0.0,False,False,100.0,100.0,100.0,3,3
q006,golden_set_50,enumeration,4.633,4.633,0.0,False,False,100.0,100.0,100.0,8,8
q007,golden_set_50,direct_fact,2.141,2.141,0.0,False,False,100.0,100.0,100.0,7,7
q008,golden_set_50,enumeration,5.438,5.438,0.0,False,False,100.0,100.0,100.0,8,8
q009,golden_set_50,reasoning,5.061,5.061,0.0,False,False,100.0,100.0,100.0,8,8
q010,golden_set_50,direct_fact,5.704,5.704,0.0,False,False,100.0,100.0,100.0,8,8
q011,golden_set_50,enumeration,5.426,5.426,0.0,False,False,100.0,100.0,100.0,8,8
q012,golden_set_50,direct_fact,4.609,4.609,0.0,False,False,100.0,100.0,100.0,8,8
q013,golden_set_50,enumeration,6.718,6.718,0.0,False,False,100.0,100.0,100.0,8,8
q014,golden_set_50,reasoning,0.678,0.678,0.0,False,False,100.0,100.0,100.0,1,1
q015,golden_set_50,direct_fact,6.777,6.777,0.0,False,False,100.0,100.0,100.0,8,8
q016,golden_set_50,reasoning,6.873,6.873,0.0,False,False,100.0,100.0,100.0,8,8
q017,golden_set_50,direct_fact,6.0,6.0,0.0,False,False,100.0,100.0,100.0,3,3
q018,golden_set_50,reasoning,8.11,8.11,0.0,False,False,100.0,100.0,100.0,8,8
q019,golden_set_50,out_of_corpus,-4.442,-4.442,0.0,True,True,0.0,0.0,0.0,0,0
q020,golden_set_50,out_of_corpus,-5.46,-5.46,0.0,True,True,0.0,0.0,0.0,0,0
q021,golden_set_50,enumeration,5.634,5.634,0.0,False,False,100.0,100.0,100.0,7,7
q022,golden_set_50,enumeration,7.095,7.095,0.0,False,False,100.0,100.0,100.0,8,8
q023,golden_set_50,enumeration,6.304,6.304,0.0,False,False,100.0,100.0,100.0,3,2
q024,golden_set_50,enumeration,5.447,5.447,0.0,False,False,100.0,100.0,100.0,6,6
q025,golden_set_50,direct_fact,0.355,0.355,0.0,False,False,100.0,100.0,100.0,1,1
q026,golden_set_50,reasoning,7.694,7.694,0.0,False,False,100.0,100.0,100.0,8,8
q027,golden_set_50,enumeration,-2.078,-2.078,0.0,False,False,0.0,0.0,0.0,1,1
q028,golden_set_50,direct_fact,0.381,0.381,0.0,False,False,100.0,100.0,100.0,7,7
q029,golden_set_50,reasoning,4.134,4.134,0.0,False,False,100.0,100.0,100.0,7,7
q030,golden_set_50,reasoning,4.913,4.913,0.0,False,False,100.0,100.0,100.0,1,1
q031,golden_set_50,direct_fact,6.095,6.308,0.213,False,False,100.0,100.0,100.0,3,3
q032,golden_set_50,enumeration,3.016,3.016,0.0,False,False,100.0,100.0,100.0,5,5
q033,golden_set_50,direct_fact,6.964,6.964,0.0,False,False,100.0,100.0,100.0,3,3
q034,golden_set_50,enumeration,4.535,4.535,0.0,False,False,100.0,100.0,100.0,7,7
q035,golden_set_50,reasoning,6.961,6.961,0.0,False,False,100.0,100.0,100.0,8,8
q036,golden_set_50,direct_fact,4.93,4.93,0.0,False,False,100.0,100.0,100.0,2,2
q037,golden_set_50,direct_fact,8.88,8.88,0.0,False,False,100.0,100.0,100.0,8,8
q038,golden_set_50,reasoning,6.873,6.873,0.0,False,False,100.0,100.0,100.0,6,6
q039,golden_set_50,reasoning,2.811,2.811,0.0,False,False,100.0,100.0,100.0,2,2
q040,golden_set_50,enumeration,4.143,4.143,0.0,False,False,100.0,100.0,100.0,3,3
q041,golden_set_50,enumeration,6.084,6.084,0.0,False,False,100.0,100.0,100.0,8,8
q042,golden_set_50,reasoning,7.614,7.614,0.0,False,False,100.0,100.0,100.0,6,6
q043,golden_set_50,direct_fact,5.485,5.485,0.0,False,False,100.0,100.0,100.0,8,8
q044,golden_set_50,multi_hop,4.094,4.094,0.0,False,False,66.7,66.7,66.7,8,8
q045,golden_set_50,multi_hop,2.123,2.123,0.0,False,False,66.7,66.7,66.7,8,8
q046,golden_set_50,multi_hop,2.336,2.336,0.0,False,False,100.0,100.0,100.0,6,6
q047,golden_set_50,multi_hop,1.678,1.678,0.0,False,False,100.0,100.0,100.0,7,8
q048,golden_set_50,out_of_corpus,-3.12,-3.12,0.0,True,True,0.0,0.0,0.0,0,0
q049,golden_set_50,out_of_corpus,-9.404,-9.404,0.0,True,True,0.0,0.0,0.0,0,0
q050,golden_set_50,out_of_corpus,-5.053,-6.406,-1.353,True,True,0.0,0.0,0.0,0,0
h001,golden_hard_paraphrase,enumeration,-1.907,-1.907,0.0,False,False,0.0,0.0,0.0,1,1
